geo_id_blk,region,id,hra,hra_id,svc,svcid
5.3033E+14,South,4,North Highline,18000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,North Highline,18000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,North Highline,18000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,North Highline,18000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,North Highline,18000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,North Highline,18000,KC-Sea,1102
5.3033E+14,South,4,North Highline,18000,KC-Sea,1102
5.3033E+14,South,4,North Highline,18000,KC-Sea,1102
5.3033E+14,South,4,North Highline,18000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,North Highline,18000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,SeaTac/Tukwila,22000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Vashon Island,25000,KC-Sea,1102
5.3033E+14,South,4,Des Moines/Normandy Park,9000,KC-Sea,1102
5.3033E+14,South,4,Des Moines/Normandy Park,9000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
5.3033E+14,South,4,Burien,7000,KC-Sea,1102
